data_hora,valor
2022-02-07 00:00:00,-38.9862
2022-02-07 00:01:00,-39.8265
2022-02-07 00:02:00,-38.9239
2022-02-07 00:03:00,-39.7227
2022-02-07 00:04:00,-38.5088
2022-02-07 00:05:00,-39.0881
2022-02-07 00:06:00,-38.4359
2022-02-07 00:07:00,-39.3025
2022-02-07 00:08:00,-39.302
2022-02-07 00:09:00,-38.0329
2022-02-07 00:10:00,-38.0741
2022-02-07 00:11:00,-38.6665
2022-02-07 00:12:00,-38.5248
2022-02-07 00:13:00,-39.634
2022-02-07 00:14:00,-38.75
2022-02-07 00:15:00,-38.7105
2022-02-07 00:16:00,-39.5768
2022-02-07 00:17:00,-38.3529
2022-02-07 00:18:00,-39.4131
2022-02-07 00:19:00,-38.8167
2022-02-07 00:20:00,-38.3156
2022-02-07 00:21:00,-39.4878
2022-02-07 00:22:00,-38.8521
2022-02-07 00:23:00,-39.3186
2022-02-07 00:24:00,-39.838
2022-02-07 00:25:00,-38.4675
2022-02-07 00:26:00,-38.0028
2022-02-07 00:27:00,-38.3015
2022-02-07 00:28:00,-39.1252
2022-02-07 00:29:00,-39.2935
2022-02-07 00:30:00,-39.5761
2022-02-07 00:31:00,-38.2672
2022-02-07 00:32:00,-39.7762
2022-02-07 00:33:00,-39.0106
2022-02-07 00:34:00,-38.551
2022-02-07 00:35:00,-38.889
2022-02-07 00:36:00,-38.4235
2022-02-07 00:37:00,-39.9243
2022-02-07 00:38:00,-38.9543
2022-02-07 00:39:00,-39.0765
2022-02-07 00:40:00,-39.3799
2022-02-07 00:41:00,-38.2558
2022-02-07 00:42:00,-38.8787
2022-02-07 00:43:00,-39.429
2022-02-07 00:44:00,-38.6185
2022-02-07 00:45:00,-38.282
2022-02-07 00:46:00,-38.9266
2022-02-07 00:47:00,-38.8769
2022-02-07 00:48:00,-39.3914
2022-02-07 00:49:00,-38.3229
2022-02-07 00:50:00,-38.8042
2022-02-07 00:51:00,-39.4222
2022-02-07 00:52:00,-39.0829
2022-02-07 00:53:00,-38.1928
2022-02-07 00:54:00,-39.194
2022-02-07 00:55:00,-38.4694
2022-02-07 00:56:00,-38.3408
2022-02-07 00:57:00,-39.5748
2022-02-07 00:58:00,-39.6728
2022-02-07 00:59:00,-38.5155
2022-02-07 01:00:00,-39.1264
2022-02-07 01:01:00,-38.2961
2022-02-07 01:02:00,-39.232
2022-02-07 01:03:00,-38.6518
2022-02-07 01:04:00,-39.1674
2022-02-07 01:05:00,-38.2464
2022-02-07 01:06:00,-38.0062
2022-02-07 01:07:00,-38.3599
2022-02-07 01:08:00,-39.915
2022-02-07 01:09:00,-38.851
2022-02-07 01:10:00,-38.1856
2022-02-07 01:11:00,-39.277
2022-02-07 01:12:00,-39.6649
2022-02-07 01:13:00,-38.0511
2022-02-07 01:14:00,-38.3544
2022-02-07 01:15:00,-39.2939
2022-02-07 01:16:00,-39.8956
2022-02-07 01:17:00,-38.2609
2022-02-07 01:18:00,-38.6679
2022-02-07 01:19:00,-39.85
2022-02-07 01:20:00,-39.9343
2022-02-07 01:21:00,-39.8185
2022-02-07 01:22:00,-39.9569
2022-02-07 01:23:00,-38.6277
2022-02-07 01:24:00,-38.8661
2022-02-07 01:25:00,-39.6031
2022-02-07 01:26:00,-38.9017
2022-02-07 01:27:00,-39.3188
2022-02-07 01:28:00,-38.4461
2022-02-07 01:29:00,-39.7983
2022-02-07 01:30:00,-38.3226
2022-02-07 01:31:00,-39.0016
2022-02-07 01:32:00,-38.9928
2022-02-07 01:33:00,-38.8964
2022-02-07 01:34:00,-39.3021
2022-02-07 01:35:00,-38.4223
2022-02-07 01:36:00,-39.5421
2022-02-07 01:37:00,-38.7478
2022-02-07 01:38:00,-39.6336
2022-02-07 01:39:00,-38.3116
2022-02-07 01:40:00,-39.8754
2022-02-07 01:41:00,-38.3909
2022-02-07 01:42:00,-38.3509
2022-02-07 01:43:00,-39.9099
2022-02-07 01:44:00,-39.2292
2022-02-07 01:45:00,-39.3869
2022-02-07 01:46:00,-38.4261
2022-02-07 01:47:00,-39.4883
2022-02-07 01:48:00,-38.7799
2022-02-07 01:49:00,-39.4135
2022-02-07 01:50:00,-39.3159
2022-02-07 01:51:00,-39.6346
2022-02-07 01:52:00,-39.8048
2022-02-07 01:53:00,-39.8344
2022-02-07 01:54:00,-39.6506
2022-02-07 01:55:00,-38.5069
2022-02-07 01:56:00,-38.0455
2022-02-07 01:57:00,-38.0482
2022-02-07 01:58:00,-38.9936
2022-02-07 01:59:00,-38.4954
2022-02-07 02:00:00,-38.8549
2022-02-07 02:01:00,-38.5471
2022-02-07 02:02:00,-39.2275
2022-02-07 02:03:00,-38.1547
2022-02-07 02:04:00,-39.0718
2022-02-07 02:05:00,-39.1555
2022-02-07 02:06:00,-39.5114
2022-02-07 02:07:00,-39.1442
2022-02-07 02:08:00,-39.1204
2022-02-07 02:09:00,-39.8085
2022-02-07 02:10:00,-38.9867
2022-02-07 02:11:00,-39.0096
2022-02-07 02:12:00,-38.9659
2022-02-07 02:13:00,-39.7293
2022-02-07 02:14:00,-38.1158
2022-02-07 02:15:00,-38.6625
2022-02-07 02:16:00,-38.5143
2022-02-07 02:17:00,-39.1799
2022-02-07 02:18:00,-39.4941
2022-02-07 02:19:00,-38.3847
2022-02-07 02:20:00,-39.5693
2022-02-07 02:21:00,-39.2223
2022-02-07 02:22:00,-39.8541
2022-02-07 02:23:00,-38.1955
2022-02-07 02:24:00,-39.0491
2022-02-07 02:25:00,-38.0847
2022-02-07 02:26:00,-38.3478
2022-02-07 02:27:00,-38.7459
2022-02-07 02:28:00,-39.3932
2022-02-07 02:29:00,-38.8747
2022-02-07 02:30:00,-39.1627
2022-02-07 02:31:00,-39.1801
2022-02-07 02:32:00,-39.2608
2022-02-07 02:33:00,-39.0723
2022-02-07 02:34:00,-39.648
2022-02-07 02:35:00,-38.4825
2022-02-07 02:36:00,-39.5845
