data_hora,valor
2022-02-07 00:00:00,-38.23
2022-02-07 00:01:00,-38.574
2022-02-07 00:02:00,-38.7139
2022-02-07 00:03:00,-38.3033
2022-02-07 00:04:00,-30.4519
2022-02-07 00:05:00,-33.1229
2022-02-07 00:06:00,-35.6666
2022-02-07 00:07:00,-37.2706
2022-02-07 00:08:00,-38.3104
2022-02-07 00:09:00,-39.4843
2022-02-07 00:10:00,-39.7468
2022-02-07 00:11:00,-39.9628
2022-02-07 00:12:00,-39.6926
2022-02-07 00:13:00,-39.4384
2022-02-07 00:14:00,-38.8353
2022-02-07 00:15:00,-39.7961
2022-02-07 00:16:00,-39.9184
2022-02-07 00:17:00,-38.8188
2022-02-07 00:18:00,-38.3191
2022-02-07 00:19:00,-39.6691
2022-02-07 00:20:00,-38.7107
2022-02-07 00:21:00,-39.0195
2022-02-07 00:22:00,-39.7579
2022-02-07 00:23:00,-38.1603
2022-02-07 00:24:00,-38.761
2022-02-07 00:25:00,-38.5373
2022-02-07 00:26:00,-39.6687
2022-02-07 00:27:00,-38.4768
2022-02-07 00:28:00,-39.3871
2022-02-07 00:29:00,-39.4106
2022-02-07 00:30:00,-38.7715
2022-02-07 00:31:00,-39.325
2022-02-07 00:32:00,-38.7998
2022-02-07 00:33:00,-38.2913
2022-02-07 00:34:00,-38.3905
2022-02-07 00:35:00,-39.1276
2022-02-07 00:36:00,-39.1221
2022-02-07 00:37:00,-38.7931
2022-02-07 00:38:00,-38.6677
2022-02-07 00:39:00,-39.0159
2022-02-07 00:40:00,-38.8438
2022-02-07 00:41:00,-38.3781
2022-02-07 00:42:00,-38.803
2022-02-07 00:43:00,-39.1605
2022-02-07 00:44:00,-38.2702
2022-02-07 00:45:00,-38.2199
2022-02-07 00:46:00,-39.6539
2022-02-07 00:47:00,-38.7394
2022-02-07 00:48:00,-39.8436
2022-02-07 00:49:00,-39.6589
2022-02-07 00:50:00,-39.8367
2022-02-07 00:51:00,-39.2718
2022-02-07 00:52:00,-38.0652
2022-02-07 00:53:00,-38.5144
2022-02-07 00:54:00,-39.7124
2022-02-07 00:55:00,-39.6793
2022-02-07 00:56:00,-39.3592
2022-02-07 00:57:00,-39.1548
2022-02-07 00:58:00,-39.1812
2022-02-07 00:59:00,-38.4243
2022-02-07 01:00:00,-38.7923
2022-02-07 01:01:00,-39.5123
2022-02-07 01:02:00,-39.4295
2022-02-07 01:03:00,-38.3597
2022-02-07 01:04:00,-38.5128
2022-02-07 01:05:00,-38.8244
2022-02-07 01:06:00,-39.5887
2022-02-07 01:07:00,-39.9899
2022-02-07 01:08:00,-39.7472
2022-02-07 01:09:00,-39.8396
2022-02-07 01:10:00,-38.5679
2022-02-07 01:11:00,-38.5949
2022-02-07 01:12:00,-39.2059
2022-02-07 01:13:00,-38.6028
2022-02-07 01:14:00,-38.4194
2022-02-07 01:15:00,-39.4096
2022-02-07 01:16:00,-38.4235
2022-02-07 01:17:00,-39.2248
2022-02-07 01:18:00,-39.9705
2022-02-07 01:19:00,-39.02
